Rank, Site, System, Cores, Rmax (TFlop/s), Rpeak (TFlop/s), Power (kW),Country
374,Software Company (M)United States,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz Infiniband FDR                    HPE,30240,833.5,1161.2,,United States
375, IT Service ProviderChina,ComputeSystem - Sugon I620 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    Sugon,48000,832.6,1689.6,600,China
376,Government DepartmentChina,BTCloudSystem - Sugon I620 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    Sugon,48000,832.2,1689.6,720,China
377,Services Company (S)United States,Cluster Platform DL360 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    HPE,36736,831.9,1410.7,,United States
378,Services Company (S)United States,Cluster Platform DL360 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    HPE,36736,831.9,1410.7,,United States
379,HLRN at Universitaet Hannover / RRZNGermany,Gottfried - Cray XC40 Intel Xeon E5-2695v2 12C 2.4GHz/E5-2680v3 12C 2.5GHz Aries interconnect                     Cray Inc.,40320,829.8,1241.4,788,Germany
380,Telecom CompanyChina,CMCluster2 - Sugon TC6000 Xeon Gold 5118 12C 2.3GHz 10G Ethernet                    Sugon,45600,827.8,1678.1,570,China
381,Internet Company AChina,Lenovo RD450 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Lenovo,37600,827.2,1504,881,China
382,Service Provider TChina,Internet Company T AA1 - Lenovo RD450 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    Lenovo,43120,825.9,1655.8,,China
383,Internet CompanyChina,JD G1 - Lenovo x3650 Xeon E5-2620v4 8C 2.1GHz 10G Ethernet                    Lenovo,50240,825.8,1688.1,,China
384,Internet Service (B)China,Internet Company B K1 - Lenovo RD450 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    Lenovo,45120,825.7,1588.2,,China
385,PEZY Computing K.K.Japan,Sakura - ZettaScaler-2.2 Xeon E5-2618Lv3  8C 2.3GHz Infiniband EDR PEZY-SC2                    PEZY Computing / Exascaler Inc.,794400,824.7,1127.7,50,Japan
386,Cloud ProviderAustralia,Software Company (M) AB1 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,28800,824.6,1059.8,,Australia
387,Hosting ServicesUnited States,Software Company (M) B5 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,28800,824.6,1059.8,,United States
388,Hosting ServicesUnited States,Software Company (M) B2 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,28800,824.6,1059.8,,United States
389,Hosting ServicesUnited States,Software Company (M) B3 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,28800,824.6,1059.8,,United States
390,Hosting ServicesUnited States,Software Company (M) B4 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,28800,824.6,1059.8,,United States
391,Hosting ServicesUnited States,Software Company (M) B1 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,28800,824.6,1059.8,,United States
392,Software Company (M)Singapore,SB1 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,28800,824.6,1059.8,,Singapore
393,Software Company (M)Ireland,IB1 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,28800,824.6,1059.8,,Ireland
394,Software Company (M)Netherlands,NB1 - Lenovo C1040 Xeon E5-2673v4 20C 2.3GHz 40G Ethernet                    Lenovo,28800,824.6,1059.8,,Netherlands
395,Internet Service (B)China,Sugon TC6000 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    Sugon,48000,822.8,1689.6,988,China
396,Financial Company (C A1)China,Lenovo x3950 Xeon E7-8860v3  16C 2.2GHz 10G Ethernet                    Lenovo,42496,822.7,1495.9,996,China
397,Academic Center for Computing and Media Studies (ACCMS)  Kyoto UniversityJapan,Laurel 2 - Cray CS400 Xeon E5-2695v4 18C 2.1GHz Intel Omni-Path                    Cray Inc.,30600,821.9,1028.2,357,Japan
398,Internet CompanyChina,VDSystem - Sugon TC6000 Xeon E5-2630v4 10C 2.2GHz 10G Ethernet                    Sugon,48000,821.8,1689.6,620,China
399,Pharmaceutical Company China,Huawei E9000 Blade Server Xeon E5-2690v4 14C 2.6GHz 40G Ethernet                    Huawei Technologies Co. Ltd.,29344,820.3,1220.7,396,China
400,Software Company (M)United States,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,38880,819.2,1493,,United States
401,Software Company (M)United States,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,38880,819.2,1493,,United States
402,Software Company (M)Ireland,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,38784,819.2,1489.3,,Ireland
403,Software Company (M)Ireland,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,36840,819.2,1414.7,,Ireland
404,Software Company (M)United States,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,36480,819.2,1400.8,,United States
405,Software Company (M)United States,Cluster Platform DL360 Xeon E5-2673v3 12C 2.4GHz 10G Ethernet                    HPE,36048,819.2,1384.2,,United States
406,Internet Company AChina,Internet Company A P1 - ThinkSystem RD452 Xeon E5-2682v4 16C 2.5GHz NVIDIA Tesla P100 10G Ethernet                    Lenovo,18720,817.2,1388.4,,China
407,Saudi AramcoSaudi Arabia,Faris - Cluster Platform SL230s Gen8 Intel Xeon E5-2680v2  10C 2.8GHz Infiniband QDR                    HPE,40960,816.6,917.5,707,Saudi Arabia
408,Internet CompanyChina,JD F1 - Lenovo x3650 Xeon E5-2620v4 8C 2.1GHz 10G Ethernet                    Lenovo,49600,815.6,1666.6,,China
409,Internet Service AChina,Inspur TS10000 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet NVIDIA Tesla P100                    Inspur,18432,814.2,1463,,China
410,Internet CompanyChina,traingsystem - Sugon I620 Xeon E5-2609v3 6C 1.9GHz 10G Ethernet                    Sugon,54000,810.8,1641.6,900,China
411,Information Technology Center The University of TokyoJapan,Reedbush-L - SGI Rackable C1102-GP8 Xeon E5-2695v4 18C 2.1GHz Infiniband EDR NVIDIA Tesla P100 NVLink                    HPE,16640,805.6,1434.2,79,Japan
412,IT Service Provider (L)China,Sugon I620 Xeon E5-2620v3 6C 2.4GHz 10G Ethernet                    Sugon,43200,804.9,1658.9,900,China
413,Internet Service (B)China,Lenovo RD450 Xeon E5-2640v4 10C 2.4GHz 10G Ethernet                    Lenovo,54800,803.9,2104.3,,China
414,Information Technology Center The University of TokyoJapan,Reedbush-H - SGI Rackable C1102-GP8 Xeon E5-2695v4 18C 2.1GHz Infiniband FDR NVIDIA Tesla P100 SXM2                    HPE,17760,802.4,1417.2,94,Japan
